분류,식품명,무게(g),칼로리(kcal),탄수화물(g),단백질(g),지방(g)
곡류 및 그 제품,"밀, 통밀, 생것",1,3.42,0.746,0.132,0.015
곡류 및 그 제품,"밀, 도정, 생것",1,3.33,0.758,0.106,0.01
곡류 및 그 제품,"밀, 강력밀가루",1,3.34,0.7289,0.1359,0.0111
곡류 및 그 제품,"밀, 금강밀, 도정, 생것",1,3.29,0.717,0.1306,0.0128
곡류 및 그 제품,"밀, 도넛가루",1,4.04,0.739,0.085,0.068
곡류 및 그 제품,"밀, 박력밀가루",1,3.74,0.7773,0.0915,0.0094
곡류 및 그 제품,"밀, 부침가루",1,3.68,0.7552,0.098,0.0098
곡류 및 그 제품,"밀, 빵가루",1,3.92,0.7704,0.1195,0.0205
곡류 및 그 제품,"밀, 신미찰밀, 도정, 생것",1,3.34,0.742,0.113,0.016
곡류 및 그 제품,"밀, 중력밀가루",1,3.75,0.7664,0.1034,0.0101
곡류 및 그 제품,"밀, 통밀가루",1,3.65,0.715,0.119,0.016
곡류 및 그 제품,"밀, 튀김가루",1,3.67,0.7841,0.0722,0.008
곡류 및 그 제품,"밀, 팬케이크가루",1,3.94,0.759,0.079,0.049
곡류 및 그 제품,"밀, 흑밀, 도정, 생것",1,3.28,0.725,0.129,0.009
곡류 및 그 제품,"밀, 호라산, 말린것",1,3.34,0.7116,0.1374,0.0191
곡류 및 그 제품,"빵, 건포도빵",1,2.63,0.511,0.082,0.035
곡류 및 그 제품,"빵, 곰보빵",1,4.15,0.6144,0.095,0.1454
곡류 및 그 제품,"빵, 꽈배기",1,4.04,0.472,0.079,0.204
곡류 및 그 제품,"빵, 도넛, 팥",1,3.47,0.457,0.066,0.153
곡류 및 그 제품,"빵, 도넛, 링",1,4.26,0.406,0.073,0.26
곡류 및 그 제품,"빵, 롤빵, 하드",1,2.93,0.527,0.099,0.043
곡류 및 그 제품,"빵, 롤빵, 소프트",1,3.09,0.486,0.101,0.09
곡류 및 그 제품,"빵, 마늘빵",1,4.24,0.575,0.098,0.172
곡류 및 그 제품,"빵, 머핀, 우유",1,2.96,0.414,0.069,0.114
곡류 및 그 제품,"빵, 머핀, 잉글리쉬",1,2.35,0.46,0.077,0.018
곡류 및 그 제품,"빵, 모닝빵",1,3.16,0.5899,0.0906,0.0491
곡류 및 그 제품,"빵, 모카빵",1,3.54,0.6329,0.0831,0.0753
곡류 및 그 제품,"빵, 바게트",1,2.89,0.575,0.094,0.013
곡류 및 그 제품,"빵, 베이글, 달걀",1,2.78,0.53,0.106,0.021
곡류 및 그 제품,"빵, 식빵",1,2.79,0.4968,0.0901,0.0491
곡류 및 그 제품,"빵, 식빵, 옥수수",1,2.7,0.5045,0.0944,0.0342
곡류 및 그 제품,"빵, 식빵, 우유",1,2.85,0.487,0.091,0.06
곡류 및 그 제품,"빵, 옥수수빵",1,3.21,0.491,0.074,0.102
곡류 및 그 제품,"빵, 잼빵",1,2.85,0.581,0.053,0.039
곡류 및 그 제품,"빵, 찐빵, 팥",1,2.13,0.4436,0.0596,0.0129
곡류 및 그 제품,"빵, 찐빵, 채소",1,2.31,0.373,0.081,0.055
곡류 및 그 제품,"빵, 찐빵, 단호박",1,2.39,0.524,0.054,0.009
곡류 및 그 제품,"빵, 카스텔라",1,2.99,0.5946,0.0691,0.0372
곡류 및 그 제품,"빵, 크루아상",1,4.38,0.439,0.079,0.268
곡류 및 그 제품,"빵, 크루아상, 버터",1,4.06,0.458,0.082,0.21
곡류 및 그 제품,"빵, 크로켓",1,3.07,0.297,0.06,0.182
곡류 및 그 제품,"빵, 크로켓, 채소",1,3.01,0.312,0.071,0.164
곡류 및 그 제품,"빵, 크림빵",1,2.75,0.455,0.06,0.077
곡류 및 그 제품,"빵, 크림빵, 버터",1,3.83,0.462,0.082,0.184
곡류 및 그 제품,"빵, 팥빵",1,2.53,0.4851,0.0757,0.0317
곡류 및 그 제품,"빵, 페이스트리",1,4.57,0.465,0.086,0.263
곡류 및 그 제품,"빵, 페이스트리, 치즈",1,3.74,0.372,0.08,0.219
곡류 및 그 제품,"빵, 페이스트리, 과일",1,3.71,0.478,0.054,0.185
곡류 및 그 제품,"빵, 붕어빵, 팥",1,2.54,0.4412,0.0481,0.0644
곡류 및 그 제품,"빵, 소시지빵",1,3.23,0.33,0.1059,0.1652
곡류 및 그 제품,"빵, 난",1,2.57,0.476,0.103,0.034
곡류 및 그 제품,"조, 메조, 도정, 생것",1,3.73,0.717,0.1148,0.0391
곡류 및 그 제품,"조, 메조, 도정, 찐것",1,1.15,0.2271,0.0314,0.0113
곡류 및 그 제품,"조, 차조, 도정, 생것",1,3.7,0.7193,0.109,0.038
곡류 및 그 제품,"피, IEC525(NO.5), 도정, 생것",1,3.76,0.739,0.085,0.046
곡류 및 그 제품,"조, 메조, 다황메, 도정, 생것",1,3.74,0.723,0.1113,0.0396
곡류 및 그 제품,"조, 메조, 단아메, 도정, 생것",1,3.72,0.6916,0.1345,0.0417
곡류 및 그 제품,"조, 메조, 삼다메, 도정, 생것",1,3.72,0.7257,0.1078,0.0374
곡류 및 그 제품,"조, 메조, 조황메, 도정, 생것",1,3.73,0.7168,0.1133,0.04
곡류 및 그 제품,"조, 차조, 경관1호, 도정, 생것",1,3.76,0.735,0.1074,0.0382
곡류 및 그 제품,"조, 차조, 경관2호, 도정, 생것",1,3.75,0.7003,0.1283,0.0437
곡류 및 그 제품,"조, 차조, 삼다찰, 도정, 생것",1,3.69,0.7039,0.1207,0.0386
곡류 및 그 제품,"조, 차조, 황미찰, 도정, 생것",1,3.71,0.7454,0.0928,0.0338
곡류 및 그 제품,"빵, 베이글",1,2.7,0.546,0.096,0.02
곡류 및 그 제품,"빵, 와플, 커스터드 크림",1,2.41,0.381,0.073,0.079
곡류 및 그 제품,"빵, 와플, 잼",1,2.79,0.573,0.049,0.042
곡류 및 그 제품,"빵, 와플",1,2.91,0.329,0.079,0.141
곡류 및 그 제품,"빵, 피칸파이",1,4.07,0.5961,0.045,0.1669
곡류 및 그 제품,"귀리, 겉귀리, 도정, 생것",1,3.8,0.6771,0.114,0.0735
곡류 및 그 제품,"귀리, 쌀귀리, 도정, 생것",1,3.88,0.6666,0.1114,0.089
곡류 및 그 제품,"귀리, 오트밀",1,3.82,0.649,0.132,0.082
곡류 및 그 제품,"기장, 도정, 생것",1,3.6,0.746,0.112,0.019
곡류 및 그 제품,"기장, 찰기장, 도정, 생것",1,3.71,0.6965,0.1363,0.0377
곡류 및 그 제품,"메밀, 도정, 생것",1,3.63,0.6784,0.1364,0.0338
곡류 및 그 제품,"메밀, 도정, 가루",1,3.74,0.7136,0.1296,0.0329
곡류 및 그 제품,"메밀 국수, 생것",1,2.91,0.6114,0.0759,0.0096
곡류 및 그 제품,"메밀 국수, 생것, 삶은것",1,1.24,0.2573,0.0354,0.0044
곡류 및 그 제품,"메밀 국수, 말린것",1,3.72,0.7441,0.1358,0.0127
곡류 및 그 제품,"메밀 국수, 말린것, 삶은것",1,1.14,0.2265,0.0428,0.004
곡류 및 그 제품,"메밀 냉면, 말린것",1,3.6,0.7366,0.1074,0.0144
곡류 및 그 제품,"메밀 냉면, 말린것, 삶은것",1,1.41,0.2871,0.0422,0.0059
곡류 및 그 제품,"멥쌀, 배아미, 생것",1,3.43,0.758,0.065,0.02
곡류 및 그 제품,"멥쌀, 백미, 생것",1,3.66,0.7874,0.0681,0.0105
곡류 및 그 제품,"멥쌀, 백미, 가루",1,3.43,0.785,0.062,0.009
곡류 및 그 제품,"멥쌀, 칠분도미, 생것",1,3.48,0.766,0.063,0.015
곡류 및 그 제품,"멥쌀, 백미, 고아미2호, 생것",1,3.62,0.743,0.084,0.0204
곡류 및 그 제품,"멥쌀, 현미, 고아미2호, 생것",1,3.59,0.71,0.0917,0.0411
곡류 및 그 제품,"멥쌀, 칠분도미, 농림나1호, 생것",1,3.7,0.792,0.056,0.019
곡류 및 그 제품,"멥쌀, 현미, 농림나1호, 생것",1,3.71,0.753,0.058,0.048
곡류 및 그 제품,"멥쌀, 현미, 발아현미, 생것",1,3.71,0.794,0.07,0.023
곡류 및 그 제품,"멥쌀, 백미, 밭벼, 생것",1,3.31,0.745,0.093,0.009
곡류 및 그 제품,"멥쌀, 칠분도미, 밭벼, 생것",1,3.59,0.734,0.095,0.015
곡류 및 그 제품,"멥쌀, 백미, 새추청벼, 생것",1,3.66,0.809,0.061,0.002
곡류 및 그 제품,"멥쌀, 백미, 수라벼, 생것",1,3.46,0.767,0.057,0.001
곡류 및 그 제품,"멥쌀, 백미, 일미벼, 생것",1,3.72,0.793,0.077,0.01
곡류 및 그 제품,"멥쌀, 현미, 일미벼, 생것",1,3.54,0.762,0.09,0.01
곡류 및 그 제품,"멥쌀, 백미, 일품벼, 생것",1,3.53,0.785,0.057,0.001
곡류 및 그 제품,"멥쌀, 현미, 일품벼, 생것",1,3.63,0.778,0.074,0.02
곡류 및 그 제품,"멥쌀, 백미, 추청벼, 생것",1,3.73,0.814,0.067,0.006
곡류 및 그 제품,"멥쌀, 현미, 추청벼, 생것",1,3.62,0.769,0.064,0.027
곡류 및 그 제품,"멥쌀, 백미, 큰눈벼, 생것",1,3.75,0.814,0.063,0.01
곡류 및 그 제품,"멥쌀, 현미, 큰눈벼, 생것",1,3.71,0.779,0.073,0.03
곡류 및 그 제품,"멥쌀, 백미, 통일벼, 생것",1,3.75,0.803,0.083,0.006
곡류 및 그 제품,"멥쌀, 현미, 통일벼, 생것",1,3.62,0.772,0.089,0.016
곡류 및 그 제품,"멥쌀, 백미, 하이아미, 생것",1,3.67,0.7846,0.0735,0.0105
곡류 및 그 제품,"멥쌀, 백미, 향미벼, 생것",1,3.68,0.799,0.07,0.006
곡류 및 그 제품,"멥쌀, 현미, 흑진주벼, 생것",1,3.69,0.777,0.079,0.026
곡류 및 그 제품,"멥쌀, 백미, 히토메보레, 생것",1,3.64,0.8,0.065,0.003
곡류 및 그 제품,"멥쌀, 백미, 골든퀸3호, 생것",1,3.54,0.7723,0.0607,0.0067
곡류 및 그 제품,"멥쌀, 현미, 골든퀸3호, 생것",1,3.57,0.7726,0.0616,0.0201
곡류 및 그 제품,"멥쌀, 백미, 호품벼, 생것",1,3.54,0.7721,0.0591,0.0073
곡류 및 그 제품,"멥쌀, 현미, 호품벼, 생것",1,3.43,0.7394,0.063,0.0194
곡류 및 그 제품,"멥쌀 과자, 튀밥, 팽화",1,3.93,0.807,0.087,0.039
곡류 및 그 제품,"멥쌀 과자, 쌀엿강정, 팽화",1,3.95,0.8996,0.0411,0.0213
곡류 및 그 제품,"멥쌀 국수, 말린것",1,3.4,0.726,0.091,0.015
곡류 및 그 제품,"멥쌀, 백미, 미음",1,0.19,0.047,0.003,0
곡류 및 그 제품,"멥쌀, 칠분도미, 미음",1,0.2,0.046,0.003,0.001
곡류 및 그 제품,"멥쌀, 현미, 미음",1,0.19,0.044,0.004,0.001
곡류 및 그 제품,"멥쌀, 백미, 밥",1,1.46,0.3171,0.0265,0.0033
곡류 및 그 제품,"멥쌀, 칠분도미, 밥",1,1.6,0.367,0.026,0.005
곡류 및 그 제품,"멥쌀, 현미, 밥",1,1.66,0.3534,0.0347,0.0096
곡류 및 그 제품,"멥쌀, 백미, 농림나1호, 밥",1,2.13,0.485,0.022,0.001
곡류 및 그 제품,"멥쌀, 칠분도미, 농림나1호, 밥",1,2.05,0.462,0.025,0.002
곡류 및 그 제품,"멥쌀, 현미, 농림나1호, 밥",1,2.01,0.461,0.028,0.002
곡류 및 그 제품,"멥쌀, 백미, 밭벼, 밥",1,1.57,0.361,0.035,0.003
곡류 및 그 제품,"멥쌀, 칠분도미, 밭벼, 밥",1,1.55,0.357,0.036,0.005
곡류 및 그 제품,"멥쌀, 현미, 밭벼, 밥",1,1.56,0.343,0.041,0.01
곡류 및 그 제품,"멥쌀, 백미, 새추청벼, 밥",1,1.53,0.338,0.025,0.001
곡류 및 그 제품,"멥쌀, 백미, 수라벼, 밥",1,1.59,0.357,0.024,0
곡류 및 그 제품,"멥쌀, 백미, 일품벼, 밥",1,1.56,0.346,0.026,0.001
곡류 및 그 제품,"멥쌀, 백미, 추청벼, 밥",1,1.51,0.337,0.024,0
곡류 및 그 제품,"멥쌀, 백미, 죽",1,0.53,0.1145,0.0099,0.0015
곡류 및 그 제품,"멥쌀, 현미, 죽",1,0.64,0.152,0.012,0.004
곡류 및 그 제품,"멥쌀, 칠분도미, 죽",1,0.68,0.156,0.011,0.002
곡류 및 그 제품,"과자, 건빵",1,4.19,0.7537,0.0992,0.0867
곡류 및 그 제품,"과자, 만주, 밤",1,3.3,0.7086,0.0635,0.0239
곡류 및 그 제품,"과자, 모나카",1,3.46,0.8262,0.0335,0.0029
곡류 및 그 제품,"과자, 비스킷, 하드",1,5.34,0.6263,0.0668,0.2858
곡류 및 그 제품,"과자, 비스킷, 소프트",1,4.89,0.6034,0.057,0.2493
곡류 및 그 제품,"과자, 사과파이",1,4.71,0.6498,0.055,0.21
곡류 및 그 제품,"과자, 전병",1,3.9,0.849,0.07,0.032
곡류 및 그 제품,"과자, 전병, 김",1,4.2,0.828,0.067,0.069
곡류 및 그 제품,"과자, 스낵, 새우",1,4.94,0.6632,0.0604,0.2277
곡류 및 그 제품,"과자, 스낵, 옥수수",1,5.2,0.6573,0.0525,0.2627
곡류 및 그 제품,"과자, 약과",1,4.22,0.717,0.038,0.133
곡류 및 그 제품,"과자, 대추꿀약과",1,4.28,0.657,0.045,0.163
곡류 및 그 제품,"과자, 바닐라 웨하스",1,5.21,0.656,0.041,0.269
곡류 및 그 제품,"과자, 초코볼",1,5.01,0.702,0.043,0.225
곡류 및 그 제품,"과자, 초코파이",1,4.28,0.6759,0.0429,0.1557
곡류 및 그 제품,"과자, 쿠키, 통밀",1,4.71,0.7273,0.0648,0.1717
곡류 및 그 제품,"과자, 쿠키, 땅콩버터",1,4.93,0.6797,0.0836,0.2087
곡류 및 그 제품,"과자, 쿠키, 초코칩",1,4.94,0.7138,0.0592,0.2055
곡류 및 그 제품,"과자, 쿠키, 버터",1,5.12,0.6647,0.0637,0.2452
곡류 및 그 제품,"과자, 크랙커",1,5.13,0.588,0.07,0.278
곡류 및 그 제품,"과자, 크래커, 땅콩샌드",1,5.24,0.6423,0.0766,0.2624
곡류 및 그 제품,"과자, 크래커, 치즈샌드",1,4.97,0.6824,0.0608,0.2223
곡류 및 그 제품,"과자, 크래커, 채소",1,5.06,0.6826,0.0738,0.2262
곡류 및 그 제품,"과자, 뻥튀기, 원반 모양, 팽화",1,3.83,0.8229,0.1106,0.0107
곡류 및 그 제품,"과자, 마카로니",1,4.57,0.7128,0.115,0.1396
곡류 및 그 제품,"국수, 생것",1,2.91,0.6009,0.0725,0.0087
곡류 및 그 제품,"국수, 소면, 말린것",1,3.7,0.7488,0.1036,0.0127
곡류 및 그 제품,"국수, 소면, 말린것, 삶은것",1,1.26,0.2536,0.0355,0.0048
곡류 및 그 제품,"국수, 중면, 말린것",1,3.66,0.7394,0.104,0.0121
곡류 및 그 제품,"국수, 중면, 말린것, 삶은것",1,1.2,0.2404,0.0355,0.004
곡류 및 그 제품,"쫄면, 말린것",1,3.48,0.7129,0.0916,0.0108
곡류 및 그 제품,"라면, 말린것",1,4.45,0.6905,0.0823,0.1428
곡류 및 그 제품,"라면, 말린것, 삶은것",1,1.75,0.2965,0.0361,0.0417
곡류 및 그 제품,"보리, 맥주보리, 두산8호, 도정, 생것",1,3.52,0.78,0.1,0.01
곡류 및 그 제품,"보리, 쌀보리, 찰보리, 서둔찰보리, 도정, 생것",1,3.54,0.785,0.097,0.011
곡류 및 그 제품,"보리, 쌀보리, 도정, 생것",1,3.41,0.7504,0.0866,0.0166
곡류 및 그 제품,"보리, 겉보리, 압맥",1,3.43,0.7538,0.0874,0.0166
곡류 및 그 제품,"보리, 겉보리, 할맥",1,3.54,0.7771,0.093,0.0167
곡류 및 그 제품,"보리, 볶은것",1,3.6,0.741,0.127,0.026
곡류 및 그 제품,"보리, 가루",1,3.57,0.7648,0.1116,0.0183
곡류 및 그 제품,"보리, 가루, 껍질 포함",1,3.64,0.7609,0.1095,0.0299
곡류 및 그 제품,"보리, 엿기름",1,3.58,0.7168,0.1465,0.0271
곡류 및 그 제품,"보리, 쌀보리, 찰보리, 도정, 생것",1,3.46,0.7229,0.1187,0.0215
곡류 및 그 제품,"보리, 겉보리, 늘보리, 도정, 생것",1,3.46,0.7508,0.0979,0.0177
곡류 및 그 제품,"보리, 쌀보리, 찰보리, 할맥",1,3.62,0.82,0.085,0.01
곡류 및 그 제품,"수수, 통수수, 생것",1,3.6,0.765,0.105,0.031
곡류 및 그 제품,"수수, 도정, 생것",1,3.74,0.7363,0.1167,0.0301
곡류 및 그 제품,"수수, 찰수수, 도정, 생것",1,3.71,0.7291,0.112,0.0322
곡류 및 그 제품,"율무, 도정, 생것",1,3.77,0.705,0.154,0.032
곡류 및 그 제품,"율무 국수, 말린것",1,3.68,0.746,0.132,0.012
곡류 및 그 제품,"율무, 죽",1,0.44,0.095,0.005,0.004
곡류 및 그 제품,"잡곡, 현미, 찹쌀, 현미찹쌀, 보리 등, 생것",1,3.58,0.734,0.0979,0.0209
곡류 및 그 제품,"찹쌀, 백미, 가루",1,3.75,0.8208,0.0644,0.0057
곡류 및 그 제품,"찹쌀, 백미, 생것",1,3.63,0.7817,0.0664,0.0099
곡류 및 그 제품,"찹쌀, 현미, 생것",1,3.56,0.7552,0.0728,0.0229
곡류 및 그 제품,"찹쌀, 백미, 화선찰벼, 생것",1,3.75,0.752,0.095,0.026
곡류 및 그 제품,"찹쌀, 백미, 동진찰벼, 생것",1,3.63,0.7811,0.0664,0.0104
곡류 및 그 제품,"찹쌀, 현미, 동진찰벼, 생것",1,3.57,0.7622,0.0714,0.0218
곡류 및 그 제품,"찹쌀 과자, 다식, 검정깨",1,4.75,0.483,0.138,0.252
곡류 및 그 제품,"찹쌀 과자, 다식, 송화",1,3.43,0.761,0.044,0.023
곡류 및 그 제품,"찹쌀 과자, 산자",1,4.17,0.756,0.02,0.118
곡류 및 그 제품,"찹쌀 과자, 유과",1,4.11,0.7749,0.0196,0.1037
곡류 및 그 제품,"찹쌀 과자, 전병",1,4.46,0.796,0.078,0.107
곡류 및 그 제품,"찹쌀 국수, 흑미, 말린것",1,3.34,0.746,0.081,0.003
곡류 및 그 제품,"호밀, 가루",1,3.24,0.758,0.085,0.016
곡류 및 그 제품,"호밀, 통호밀, 생것",1,3.34,0.707,0.159,0.015
곡류 및 그 제품,"기장, 찰기장, 이백찰, 도정, 생것",1,3.73,0.6949,0.1372,0.0403
곡류 및 그 제품,"기장, 찰기장, 한라찰, 도정, 생것",1,3.73,0.6978,0.128,0.0435
곡류 및 그 제품,"기장, 찰기장, 황실찰, 도정, 생것",1,3.68,0.6742,0.1555,0.0362
곡류 및 그 제품,"수수, 찰수수, 남풍찰, 도정, 생것",1,3.78,0.7403,0.1103,0.0367
곡류 및 그 제품,"수수, 찰수수, 소담찰, 도정, 생것",1,3.76,0.7319,0.1273,0.0302
곡류 및 그 제품,"국수, 말린것, 삶은것",1,1.23,0.247,0.0355,0.0044
곡류 및 그 제품,"국수, 말린것",1,3.68,0.7441,0.1038,0.0124
곡류 및 그 제품,"찹쌀, 현미, 백옥찰, 생것",1,3.58,0.7565,0.0747,0.0238
곡류 및 그 제품,"찹쌀, 현미, 백진주, 생것",1,3.58,0.7582,0.0738,0.0239
곡류 및 그 제품,"찹쌀, 현미, 보람찰, 생것",1,3.5,0.7439,0.0711,0.0221
곡류 및 그 제품,"찹쌀, 현미, 보람찰, 밥",1,1.81,0.3841,0.0355,0.0125
곡류 및 그 제품,"찹쌀, 현미, 흑미, 생것",1,3.62,0.7566,0.0783,0.0275
곡류 및 그 제품,"찹쌀, 현미, 눈큰흑찰1호, 생것",1,3.6,0.7508,0.0819,0.0269
곡류 및 그 제품,"찹쌀, 현미, 조생흑찰, 생것",1,3.63,0.7623,0.0747,0.028
곡류 및 그 제품,"멥쌀, 현미, 흑진미, 밥",1,1.74,0.3683,0.0398,0.0101
곡류 및 그 제품,"멥쌀, 현미, 오대, 밥",1,1.66,0.3529,0.0381,0.0087
곡류 및 그 제품,"멥쌀, 현미, 신동진, 밥",1,1.6,0.3457,0.0315,0.0076
곡류 및 그 제품,"멥쌀, 현미, 도담쌀, 생것",1,3.56,0.7415,0.0773,0.0285
곡류 및 그 제품,"멥쌀, 현미, 미품, 생것",1,3.48,0.733,0.0841,0.0207
곡류 및 그 제품,"멥쌀, 현미, 보람찬, 생것",1,3.55,0.7574,0.0742,0.0201
곡류 및 그 제품,"멥쌀, 현미, 삼광, 생것",1,3.58,0.7698,0.0688,0.02
곡류 및 그 제품,"멥쌀, 현미, 새일미, 생것",1,3.57,0.76,0.076,0.0212
곡류 및 그 제품,"멥쌀, 현미, 설갱, 생것",1,3.56,0.7536,0.0753,0.0234
곡류 및 그 제품,"멥쌀, 현미, 신동진, 생것",1,3.5,0.7524,0.0669,0.0198
곡류 및 그 제품,"멥쌀, 현미, 알찬미, 생것",1,3.65,0.7809,0.0691,0.0234
곡류 및 그 제품,"멥쌀, 현미, 영호진미, 생것",1,3.63,0.781,0.0621,0.0232
곡류 및 그 제품,"멥쌀, 현미, 예찬, 생것",1,3.56,0.7525,0.0723,0.0247
곡류 및 그 제품,"멥쌀, 현미, 오대, 생것",1,3.63,0.7653,0.0807,0.0231
곡류 및 그 제품,"멥쌀, 현미, 운광, 생것",1,3.55,0.7594,0.0652,0.0228
곡류 및 그 제품,"멥쌀, 현미, 일품, 생것",1,3.57,0.7637,0.07,0.0218
곡류 및 그 제품,"멥쌀, 현미, 친들, 생것",1,3.53,0.758,0.0697,0.0198
곡류 및 그 제품,"멥쌀, 현미, 팔방미, 생것",1,3.58,0.7374,0.0912,0.0265
곡류 및 그 제품,"멥쌀, 현미, 하이아미, 생것",1,3.6,0.7573,0.0741,0.026
곡류 및 그 제품,"멥쌀, 현미, 한가루, 생것",1,3.61,0.7638,0.0792,0.022
곡류 및 그 제품,"멥쌀, 현미, 한아름4호, 생것",1,3.63,0.7723,0.0756,0.022
곡류 및 그 제품,"멥쌀, 현미, 해담쌀, 생것",1,3.66,0.7758,0.0742,0.0244
곡류 및 그 제품,"멥쌀, 현미, 해들, 생것",1,3.56,0.7499,0.0806,0.0234
곡류 및 그 제품,"멥쌀, 현미, 해품, 생것",1,3.49,0.7353,0.0871,0.0188
곡류 및 그 제품,"멥쌀, 현미, 적진주, 생것",1,3.6,0.7601,0.0747,0.0248
곡류 및 그 제품,"멥쌀, 현미, 흑미, 생것",1,3.57,0.7556,0.077,0.0221
곡류 및 그 제품,"멥쌀, 현미, 흑진미, 생것",1,3.57,0.7582,0.0782,0.0211
곡류 및 그 제품,"멥쌀, 현미, 삼광, 밥",1,1.65,0.3483,0.035,0.0115
곡류 및 그 제품,"멥쌀, 현미, 새일미, 밥",1,1.72,0.3667,0.0343,0.0108
곡류 및 그 제품,"보리, 겉보리, 큰알보리1호, 밥",1,1.38,0.306,0.0317,0.0065
곡류 및 그 제품,"보리, 겉보리, 밥",1,1.44,0.3179,0.0355,0.007
곡류 및 그 제품,"보리, 겉보리, 흑수청찰, 밥",1,1.5,0.3297,0.0393,0.0075
곡류 및 그 제품,"찹쌀, 백미, 백옥찰, 생것",1,3.65,0.7823,0.0677,0.0112
곡류 및 그 제품,"보리, 겉보리, 흑수정찰, 조곡, 생것",1,3.49,0.7282,0.1164,0.0234
곡류 및 그 제품,"보리, 겉보리, 큰알보리1호, 조곡, 생것",1,3.45,0.7285,0.1039,0.0241
곡류 및 그 제품,"보리, 겉보리, 조곡, 생것",1,3.47,0.7284,0.1101,0.0237
곡류 및 그 제품,"보리, 겉보리, 흑수정찰, 도정, 생것",1,3.52,0.7739,0.0938,0.016
곡류 및 그 제품,"보리, 겉보리, 큰알보리1호, 도정, 생것",1,3.45,0.7639,0.0813,0.0175
곡류 및 그 제품,"보리, 겉보리, 도정, 생것",1,3.49,0.7689,0.0875,0.0167
곡류 및 그 제품,"찹쌀, 백미, 백진주, 생것",1,3.59,0.7768,0.0663,0.0076
곡류 및 그 제품,"찹쌀, 백미, 보람찰, 생것",1,3.65,0.7867,0.0654,0.0104
곡류 및 그 제품,"보리, 쌀보리, 누리찰, 도정, 생것",1,3.4,0.7477,0.0889,0.0157
곡류 및 그 제품,"찹쌀, 백미, 보람찰, 죽",1,0.53,0.113,0.0091,0.0028
곡류 및 그 제품,"찹쌀, 백미, 보람찰, 밥",1,1.55,0.3393,0.0258,0.0033
곡류 및 그 제품,"보리, 쌀보리, 호강, 밥",1,1.46,0.3245,0.0339,0.0073
곡류 및 그 제품,"보리, 쌀보리, 누리찰, 밥",1,1.42,0.3099,0.0377,0.0072
곡류 및 그 제품,"보리, 쌀보리, 밥",1,1.44,0.3172,0.0358,0.0073
곡류 및 그 제품,"보리, 쌀보리, 호강, 도정, 생것",1,3.41,0.7591,0.078,0.0159
곡류 및 그 제품,"멥쌀, 백미, 해들, 생것",1,3.65,0.7739,0.0733,0.0134
곡류 및 그 제품,"멥쌀, 백미, 해담쌀, 생것",1,3.71,0.8024,0.0665,0.0093
곡류 및 그 제품,"멥쌀, 백미, 한아름4호, 생것",1,3.69,0.793,0.0713,0.0088
곡류 및 그 제품,"멥쌀, 백미, 한가루, 생것",1,3.73,0.8003,0.0711,0.0105
곡류 및 그 제품,"멥쌀, 백미, 팔방미, 생것",1,3.66,0.7732,0.0833,0.0094
곡류 및 그 제품,"멥쌀, 백미, 친들, 생것",1,3.64,0.7909,0.0643,0.0077
곡류 및 그 제품,"멥쌀, 백미, 일품, 생것",1,3.67,0.7852,0.0706,0.0112
곡류 및 그 제품,"멥쌀, 백미, 운광, 생것",1,3.65,0.791,0.062,0.0099
곡류 및 그 제품,"멥쌀, 백미, 오대, 생것",1,3.71,0.7946,0.0738,0.0093
곡류 및 그 제품,"멥쌀, 백미, 예찬, 생것",1,3.63,0.7878,0.066,0.0075
곡류 및 그 제품,"멥쌀, 백미, 영호진미, 생것",1,3.71,0.7987,0.0572,0.0154
곡류 및 그 제품,"귀리, 쌀귀리, 조양, 도정, 밥",1,2.21,0.3698,0.0631,0.0559
곡류 및 그 제품,"귀리, 쌀귀리, 대양, 도정, 밥",1,2.15,0.3609,0.0671,0.0513
곡류 및 그 제품,"귀리, 쌀귀리, 도정, 밥",1,2.18,0.3654,0.0651,0.0536
곡류 및 그 제품,"귀리, 쌀귀리, 조양, 도정, 생것",1,3.9,0.6723,0.1078,0.0901
곡류 및 그 제품,"귀리, 쌀귀리, 대양, 도정, 생것",1,3.86,0.661,0.1151,0.0878
곡류 및 그 제품,"멥쌀, 백미, 알찬미, 생것",1,3.74,0.8036,0.0602,0.0157
곡류 및 그 제품,"멥쌀, 백미, 신동진, 생것",1,3.61,0.7801,0.0606,0.0109
곡류 및 그 제품,"멥쌀, 백미, 해품, 생것",1,3.62,0.773,0.0823,0.0056
곡류 및 그 제품,"멥쌀, 백미, 삼광, 밥",1,1.46,0.3171,0.0252,0.0033
곡류 및 그 제품,"멥쌀, 백미, 새일미, 밥",1,1.42,0.3069,0.0267,0.0025
곡류 및 그 제품,"멥쌀, 백미, 금강1호, 생것",1,3.69,0.7946,0.0669,0.011
곡류 및 그 제품,"멥쌀, 백미, 남찬, 생것",1,3.66,0.7814,0.0685,0.0134
곡류 및 그 제품,"멥쌀, 백미, 도담쌀, 생것",1,3.6,0.7691,0.0697,0.0114
곡류 및 그 제품,"멥쌀, 백미, 미품, 생것",1,3.61,0.7689,0.0777,0.0081
곡류 및 그 제품,"멥쌀, 백미, 보람찬, 생것",1,3.7,0.7836,0.0716,0.0153
곡류 및 그 제품,"멥쌀, 백미, 삼광, 생것",1,3.67,0.7971,0.0631,0.009
